,time,r_x,r_y,r_z,v_x,v_y,v_z,a,M
0,0.0,6492920.0,0.0,0.0,-1081.685116918704,10933.623658597206,10933.623658597206,0.0,0.0
1,1.0,6491838.314883081,10933.623658597206,3.9757668475599165e-10,-1091.1387103614666,10933.620887595773,-5.78755948412074e-16,0.003067616508120185,26.12230030552051
2,2.0,6490747.176172719,21867.24454619298,3.975761060000432e-10,-1100.5952219348762,10933.601787579719,-1.1577711825836144e-15,0.003511561524281522,26.803372268511936
3,3.0,6489646.5809507845,32800.8463337727,3.9757494822886065e-10,-1110.0545622590134,10933.56626498124,-1.7370372188453688e-15,0.004042192805875821,27.528167794976778
4,4.0,6488536.526388525,43734.412598753945,3.975732111916418e-10,-1119.516634448126,10933.514211454061,-2.3165445131782586e-15,0.004676228213942109,28.286852926750058
5,5.0,6487417.009754077,54667.92681020801,3.9757089464712864e-10,-1128.981332505607,10933.44550064985,-2.896282233637202e-15,0.005433989083833843,29.070413827461525
6,6.0,6486288.028421571,65601.37231085786,3.97567998364895e-10,-1138.4485393663135,10933.359984295063,-3.476237983041944e-15,0.006340183883486914,29.870632044979782
7,7.0,6485149.5798822045,76534.73229515292,3.97564522126912e-10,-1147.918124515911,10933.257487431307,-4.056397462095364e-15,0.007424845810200182,30.680031529667858
8,8.0,6484001.661757689,87467.98978258422,3.9756046572944987e-10,-1157.3899411048658,10933.13780265944,-4.636744061420916e-15,0.008724450176729655,31.491811733685775
9,9.0,6482844.271816584,98401.12758524367,3.9755582898538843e-10,-1166.8638224620152,10933.000683203825,-5.217258369261557e-15,0.010283238553231952,32.299776947293545
10,10.0,6481677.407994122,109334.12826844749,3.975506117270192e-10,-1176.3395778999072,10932.845834589813,-5.797917579843035e-15,0.012154776294935186,33.09826848163573
11,11.0,6480501.068416222,120266.9741030373,3.9754481380943936e-10,-1185.8169876923405,10932.67290470639,-6.378694785814025e-15,0.014403767523489121,33.8821034990274
12,12.0,6479315.25142853,131199.64700774368,3.9753843511465355e-10,-1195.2957970951209,10932.481472010353,-6.9595581369375475e-15,0.01710814584416852,34.64652216523196
13,13.0,6478119.955631435,142132.12847975403,3.975314755565166e-10,-1204.775709291866,10932.271031654267,-7.540469848870787e-15,0.020361412633584545,35.38711220728908
14,14.0,6476915.179922143,153064.3995114083,3.9752393508666774e-10,-1214.2563779882228,10932.040981049984,-8.121385166335206e-15,0.024273298840144234,36.09838998595005
15,15.0,6475700.9235441545,163996.4404924583,3.975158137015014e-10,-1223.7373998375915,10931.790605250195,-8.702251307080615e-15,0.028970002703338407,36.773475802717364
16,16.0,6474477.186144317,174928.23109770849,3.9750711145019434e-10,-1233.2183054227098,10931.519059546203,-9.283006204633928e-15,0.0345973266328548,37.4061129584797
17,17.0,6473243.967838894,185859.7501572547,3.974978284439897e-10,-1242.6985496405364,10931.225351045683,-9.86357717181902e-15,0.04132185661422659,37.9907275088789
18,18.0,6472001.269289253,196790.97550830038,3.974879648668179e-10,-1252.1775019345525,10930.908320146931,-1.0443879548756293e-14,0.04933112300022496,38.52233087689604
19,19.0,6470749.091787319,207721.88382844732,3.9747752098726914e-10,-1261.6544369400353,10930.566623057975,-1.1023815415915906e-14,0.05883248094020339,38.996428159813384
20,20.0,6469487.437350378,218652.45045150528,3.9746649717185325e-10,-1271.1285263429236,10930.198716966699,-1.1603272485699642e-14,0.07005019585736524,39.408930416907296
21,21.0,6468216.308824035,229582.64916847198,3.9745489389936754e-10,-1280.5988330291618,10929.802850000791,-1.2182123324537843e-14,0.08322013383765922,39.7560702097715
22,22.0,6466935.709991006,240512.45201847277,3.97442711776043e-10,-1290.0643089092537,10929.377058703161,-1.2760225100196273e-14,0.09858139424740793,40.034320648451256
23,23.0,6465645.6456820965,251441.82907717593,3.974299515509428e-10,-1299.52379812263,10928.919176349162,-1.333742009308932e-14,0.11636420414046168,40.24031887282193
24,24.0,6464346.1218839735,262370.7482535251,3.974166141308497e-10,-1308.9760465134268,10928.426853749637,-1.3913537093664771e-14,0.13677594347316618,40.371155342235205
25,25.0,6463037.14583746,273299.1751072747,3.9740270059375606e-10,-1318.4196949244454,10927.897547436218,-1.4488390502733343e-14,0.16003757196399385,40.43086495324726
26,26.0,6461718.726142535,284227.07265471097,3.973882122032533e-10,-1327.8532617715216,10927.32848656438,-1.5061777920050307e-14,0.1864074680740514,40.42929892494482
27,27.0,6460390.872880763,295154.40114127536,3.9737315042533324e-10,-1337.2751372652388,10926.716663381047,-1.5633479389711493e-14,0.21615513523446347,40.37586996030935
28,28.0,6459053.597743498,306081.1178046564,3.9735751694594353e-10,-1346.6835763211748,10926.0588211806,-1.620325646397755e-14,0.24956403770474414,40.279444017999786
29,29.0,6457706.914167177,317007.176625837,3.9734131368947957e-10,-1356.0766885148034,10925.351436518533,-1.677085085474866e-14,0.2869380625556208,40.14844491305346
30,30.0,6456350.837478662,327932.52806235553,3.9732454283862484e-10,-1365.4524238893055,10924.590693395568,-1.7335982507112754e-14,0.32861056108944764,39.9909362228264
31,31.0,6454985.385054773,338857.1187557511,3.973072068561177e-10,-1374.8085532919463,10923.772446897243,-1.789834691179976e-14,0.37495623303752196,39.81468130061712
32,32.0,6453610.576501481,349780.89120264834,3.972893085092059e-10,-1384.1426417935586,10922.892173572114,-1.845761145753415e-14,0.4264060883116566,39.62718167839589
33,33.0,6452226.433859687,360703.78337622044,3.9727085089774835e-10,-1393.4520136262124,10921.944905636208,-1.9013410608792338e-14,0.483465714891076,39.435694370028415
34,34.0,6450832.981846062,371625.72828185663,3.972518374871396e-10,-1402.7337069431674,10920.92514587582,-1.9565339677495324e-14,0.5467371045145846,39.24722928348084
35,35.0,6449430.248139119,382546.65342773247,3.972322721474621e-10,-1411.9844165471484,10919.826759854808,-2.0112946936536145e-14,0.6169443450816173,39.06852885891547
36,36.0,6448018.263722572,393466.48018758727,3.9721215920052557e-10,-1421.2004231480012,10918.64284288971,-2.065572388288769e-14,0.6949622275542741,38.90599536138306
37,37.0,6446597.063299423,404385.12303047697,3.9719150347664266e-10,-1430.377557286265,10917.365655964191,-2.1193100399621914e-14,0.78173906375188,38.76300553848762
38,38.0,6445166.685742137,415302.48868644115,3.97170310376243e-10,-1439.5112199033667,10915.986672459558,-2.1724447864768073e-14,0.8781722035574303,38.63832779174524
39,39.0,6443727.174522233,426218.47535890073,3.9714858592837827e-10,-1448.596356613267,10914.496534378548,-2.224907577853104e-14,0.9852097310512452,38.53033225477322
40,40.0,6442278.57816562,437132.9718932793,3.971263368525997e-10,-1457.6274258807368,10912.884997087867,-2.2766227558008683e-14,1.1038634699275411,38.43741579797085
41,41.0,6440820.9507397385,448045.85689036717,3.971035706250417e-10,-1466.5983675699842,10911.140875192861,-2.3275076406246437e-14,1.2352078122001808,38.35800000381617
42,42.0,6439354.352372169,458956.99776556005,3.9708029554863546e-10,-1475.5025724132572,10909.251990556311,-2.377472133264177e-14,1.3803773956634515,38.290531805355144
43,43.0,6437878.849799755,469866.24975611636,3.970565208273028e-10,-1484.3328530744911,10907.205123695354,-2.4264183418822108e-14,1.5405633751924985,38.233486801800005
44,44.0,6436394.516946681,480773.45487981173,3.97032256643884e-10,-1493.0814176148226,10904.985970020789,-2.4742402441990457e-14,1.7170080225821802,38.185374792499026
45,45.0,6434901.435529066,491678.4408498325,3.97007514241442e-10,-1501.7398462974813,10902.579102607875,-2.5208233985328396e-14,1.9109973950731878,38.144746779827784
46,46.0,6433399.695682769,502581.01995244034,3.9698230600745665e-10,-1510.2990727921126,10899.967943393593,-2.566044718137677e-14,2.1238518331027434,38.11020259561122
47,47.0,6431889.396609977,513480.9878958339,3.9695664556027527e-10,-1518.7493709467126,10897.134744871426,-2.6097723248512166e-14,2.3569140810190294,38.08039837670874
48,48.0,6430370.64723903,524378.1226407053,3.9693054783702673e-10,-1527.0803483836737,10894.060584491437,-2.65186549919606e-14,2.611534868374519,38.05405329866215
49,49.0,6428843.566890647,535272.1832251968,3.9690402918203476e-10,-1535.2809482400924,10890.725374063193,-2.6921747448574506e-14,2.88905584258067,38.02995520547692
50,50.0,6427308.285942406,546162.90859926,3.9687710743458616e-10,-1543.3394604066032,10887.107886493815,-2.7305419858182585e-14,3.1907898059884063,38.00696498471636
51,51.0,6425764.946482,557050.0164857538,3.9684980201472796e-10,-1551.241471097125,10883.181873780242,-2.7667722721643683e-14,3.5224406514585387,37.97416037484598
52,52.0,6424213.705010903,567933.198359534,3.968221342920063e-10,-1558.975876155313,10878.927475434835,-2.8007169591414966e-14,3.876813783223548,37.951549197094614
