,time,r_x,r_y,r_z,v_x,v_y,v_z,a,M
0,0.0,6492920.0,0.0,0.0,-279.19597362000775,7995.1266161527665,7995.1266161527665,0.0,0.0
1,1.0,6492640.80402638,7995.1266161527665,3.9757668475599165e-10,-288.65081191059073,7995.124686804477,1.7435797349886758e-07,0.0019305170760351709,19.020515376732877
2,2.0,6492352.15321447,15990.251302957244,1.7475555018362358e-07,-298.1064372096492,7995.111047523361,3.546935318146366e-07,0.0019966987481420473,19.142811520500256
3,3.0,6492054.04677726,23985.362350480606,5.294490819982601e-07,-307.56283386247424,7995.085692240221,5.412896050494291e-07,0.0020660156842745464,19.26768622372018
4,4.0,6491746.483943397,31980.448042720825,1.0707386870476892e-06,-317.0199861885058,7995.048614760936,7.344425158348517e-07,0.002138616253851687,19.395028253681257
5,5.0,6491429.463957208,39975.49665748176,1.8051812028825409e-06,-326.4778784803647,7994.999808758808,9.344626781478206e-07,0.002214656567695825,19.524726786722333
6,6.0,6491102.986078728,47970.49646624057,2.7396438810303613e-06,-335.9364950028215,7994.939267766484,1.1416753356339906e-06,0.002294300915662221,19.656671534257757
7,7.0,6490767.049583726,55965.43573400706,3.8813192166643515e-06,-345.3958199916977,7994.866985167412,1.3564213415168663e-06,0.002377722227288867,19.790752856022966
8,8.0,6490421.653763734,63960.30271917447,5.237740558181217e-06,-354.8558376526957,7994.782954186826,1.5790579822755221e-06,0.0024651025566282715,19.92686186106409
9,9.0,6490066.797926081,71955.08567336129,6.8167985404567395e-06,-364.3165321601524,7994.687167882217,1.8099598473821977e-06,0.002556633592461722,20.064890497028863
10,10.0,6489702.481393921,79949.77284124351,8.626758387838938e-06,-373.77788765571137,7994.579619133286,2.0495197475037074e-06,0.0026525171951444966,20.20473162835537
11,11.0,6489328.703506266,87944.3524603768,1.0676278135342646e-05,-383.23988824690963,7994.46030063132,2.2981496836878555e-06,0.002752965961381387,20.346279103989225
12,12.0,6488945.463618019,95938.81276100813,1.2974427819030502e-05,-392.7025180056723,7994.329204868003,2.55628187017757e-06,0.0028582038182791377,20.489427815278198
13,13.0,6488552.761100013,103933.14196587613,1.553070968920807e-05,-402.1657609667101,7994.186324123591,2.8243698136203924e-06,0.002968466648060339,20.634073744693218
14,14.0,6488150.595339046,111927.32828999971,1.8355079502828464e-05,-411.6296011258143,7994.031650454446,3.102889451570805e-06,0.0030840029448776845,20.780114006041586
15,15.0,6487738.96573792,119921.35994045416,2.145796895439927e-05,-421.0940224380411,7993.865175679888,3.3923403533158953e-06,0.003205074505202952,20.92744687682502
16,16.0,6487317.871715482,127915.22511613405,2.4850309307715163e-05,-430.5590088157805,7993.686891368327,3.693246986191631e-06,0.0033319571533067466,21.075971823388105
17,17.0,6486887.312706667,135908.91200750237,2.8543556293906794e-05,-440.0245441267012,7993.496788822648,4.006160050697743e-06,0.0034649415033887426,21.225589519496285
18,18.0,6486447.288162541,143902.408796325,3.2549716344604534e-05,-449.49061219156516,7993.2948590647975,4.331657887861649e-06,0.003604333759937576,21.376201858947258
19,19.0,6485997.7975503495,151895.7036553898,3.6881374232466184e-05,-458.9571967819032,7993.081092819548,4.670347962448969e-06,0.003750456557951205,21.527711962823403
20,20.0,6485538.840353567,159888.78474820935,4.1551722194915153e-05,-468.4242816175433,7992.855480497389,5.022868425765037e-06,0.0039036498446462036,21.680024181938492
21,21.0,6485070.4160719495,167881.64022870673,4.657459062068019e-05,-477.89185036398334,7992.618012176508,5.389889761943389e-06,0.0040642718043365595,21.833044095040968
22,22.0,6484592.524221585,175874.25824088324,5.196448038262358e-05,-487.3598866295992,7992.36867758381,5.772116521766787e-06,0.0042326998281408245,21.986678503271882
23,23.0,6484105.164334956,183866.62691846705,5.773659690439037e-05,-496.8283739626774,7992.107466074942,6.170289148219618e-06,0.004409331530217988,22.140835421383358
24,24.0,6483608.335960993,191858.73438454198,6.390688605260998e-05,-506.2972958482637,7991.834366613259,6.585185898119804e-06,0.004594585812187848,22.29542406615411
25,25.0,6483102.038665145,199850.56875115525,7.049207195072979e-05,-515.7666357048157,7991.549367747704,7.017624864331146e-06,0.004788903977431544,22.450354842456456
26,26.0,6482586.27202944,207842.11811890296,7.750969681506093e-05,-525.2363768806491,7991.252457589529,7.4684661032021005e-06,0.004992750896881988,22.60553932734474
27,27.0,6482061.035652559,215833.37057649248,8.497816291826303e-05,-534.7065026501658,7990.943623787817,7.938613872024295e-06,0.005206616227939667,22.76089025255763
28,28.0,6481526.329149909,223824.3142002803,9.291677679028732e-05,-544.1769962098508,7990.622853503757,8.429018981441791e-06,0.005431015688042935,22.91632148575134
29,29.0,6480982.1521537,231814.93705378406,0.00010134579577172911,-553.6478406740266,7990.2901333836035,8.940681267878534e-06,0.005666492384408217,23.071748010791595
30,30.0,6480428.504313026,239805.22718716765,0.00011028647703960764,-563.1190190703501,7989.945449530271,9.474652191176334e-06,0.005913618201328924,23.227085907370157
