,time,r_x,r_y,r_z,v_x,v_y,v_z,a,M
0,0.0,6492920.0,0.0,0.0,-279.19597362000775,7995.1266161527665,7995.1266161527665,0.0,0.0
1,1.0,6492640.80402638,7995.1266161527665,3.9757668475599165e-10,-288.6512160607108,7995.125224970145,0.00045921841603337643,0.001503418401056443,19.020515376732877
2,2.0,6492352.152810319,15990.25184112291,0.00045921881361006117,-298.1072600226981,7995.1121418096445,0.000934180499256487,0.0015549585608925654,19.142812842249022
3,3.0,6492054.045550297,23985.363982932555,0.0013933993128665482,-307.56409055390856,7995.087361440054,0.0014256314570581232,0.0016089404580411537,19.267689117835886
4,4.0,6491746.481459743,31980.45134437261,0.0028190307699246715,-317.02169271071097,7995.050878544025,0.001934351775119962,0.0016654796542462436,19.395032991576297
5,5.0,6491429.459767032,39975.502222916635,0.004753382545044633,-326.4800515587585,7995.002687712414,0.00246115905858874,0.0017246977420219496,19.524733660541145
6,6.0,6491102.979715474,47970.504910629046,0.007214541603633373,-335.9391521738843,7994.942783438299,0.0030069099773756746,0.001786722685693324,19.6566808568254
7,7.0,6490767.0405633,55965.44769406735,0.010221451581009048,-345.398979643041,7994.8711601106625,0.0035725023210640182,0.0018516891803888132,19.790764960803866
8,8.0,6490421.641583657,63960.31885417801,0.013793953902073067,-354.859519065284,7994.787812007715,0.004158877169183398,0.0019197390298942645,19.926877102135606
9,9.0,6490066.782064592,71955.10666618572,0.017952831071256465,-364.32075555280176,7994.692733289842,0.0047670211828949784,0.0019910215443033285,20.064909249067412
10,10.0,6489702.461309039,79949.79939947557,0.02271985225415144,-373.78267423199446,7994.585917992152,0.005397969024430464,0.0020656939584438156,20.204754286640874
11,11.0,6489328.6786348075,87944.38531746772,0.028117821278581905,-383.2452602446026,7994.4673600166125,0.006052805910936506,0.002143921872090755,20.34630608442373
12,12.0,6488945.433374563,95938.85267748433,0.03417062718951841,-392.70849874888796,7994.337053123751,0.006732670309698886,0.002225879713023783,20.489459554423778
13,13.0,6488552.724875814,103933.18973060808,0.0409032974992173,-402.1723749208683,7994.194990923883,0.007438756782049916,0.0023117512240070945,20.634110699825566
14,14.0,6488150.552500893,111927.38472153197,0.04834205428126721,-411.6368739556086,7994.041166867871,0.008172318983607374,0.0024017299748216774,20.780156655223234
15,15.0,6487738.9156269375,119921.42588839984,0.05651437326487459,-421.10198106857,7993.875574237359,0.008934672828843904,0.0024960199004989336,20.927495718993935
