,time,r_x,r_y,r_z,v_x,v_y,v_z,a,M
0,0.0,6492920.0,0.0,0.0,-279.19597362000775,7995.1266161527665,7995.1266161527665,0.0,0.0
1,1.0,6492640.80402638,7995.1266161527665,3.9757668475599165e-10,-288.6508115112377,7995.124686818423,1.9180473237863778e-07,0.0019305170760351709,19.020515376732877
2,2.0,6492352.153214869,15990.251302971188,1.9220230906339377e-07,-298.10643639726925,7995.111047552218,3.9018518385311165e-07,0.0019966987481418114,19.142811520499126
3,3.0,6492054.046778472,23985.362350523406,5.823874929165054e-07,-307.5628326227456,7995.085692285013,5.954525953125856e-07,0.0020660156841694256,19.267686223531417
4,4.0,6491746.483945849,31980.44804280842,1.177840088229091e-06,-317.01998450642805,7995.048614822745,8.07932940268722e-07,0.002138616253517919,19.395028253100513
5,5.0,6491429.463961343,39975.49665763116,1.985773028497813e-06,-326.4778763402267,7994.999808838781,1.0279676935968272e-06,0.0022146565669885453,19.524726785528316
6,6.0,6491102.986085003,47970.496466469944,3.01374072209464e-06,-335.9364923881675,7994.939267865835,1.2559146437376573e-06,0.0022943009144116232,19.65667153221043
7,7.0,6490767.049592615,55965.43573433578,4.269655365832298e-06,-345.39581688529177,7994.866985287428,1.4921487506463375e-06,0.0023777222252988235,19.790752852866408
8,8.0,6490421.65377573,63960.30271962321,5.761804116478635e-06,-354.8558340364842,7994.782954328868,1.7370630518892133e-06,0.0024651025536720763,19.92686185652511
9,9.0,6490066.797941694,71955.08567395207,7.4988671683678484e-06,-364.3165280152244,7994.687168047729,1.991069619409516e-06,0.0025566335882783613,20.06489049081716
10,10.0,6489702.481413679,79949.7728419998,9.489936787777365e-06,-373.7778829622572,7994.579619323796,2.2546005696061442e-06,0.0026525171894336676,20.204731620162516
11,11.0,6489328.703530717,87944.3524613236,1.174453735738351e-05,-383.239882984177,7994.460300848451,2.5281091294993924e-06,0.002752965953800892,20.346279093491777
12,12.0,6488945.4636477325,95938.81276217205,1.4272646486882902e-05,-392.7025121519201,7994.329205113473,2.812070761890118e-06,0.0028582038084379938,20.48942780213534
13,13.0,6488552.761135581,103933.14196728553,1.708471724877302e-05,-402.1657544991601,7994.186324399221,3.106984352557574e-06,0.002968466635514177,20.634073728548454
