,time,r_x,r_y,r_z,v_x,v_y,v_z,a,M
0,0.0,6492920.0,0.0,0.0,-279.19597362000775,7995.1266161527665,7995.1266161527665,0.0,0.0
1,1.0,6492640.80402638,7995.1266161527665,3.9757668475599165e-10,-288.6508758585475,7995.126515814351,-7.643764710339922e-08,0.00010039005031988025,19.020515376732877
2,2.0,6492352.153150521,15990.253131967118,-7.604007041864323e-08,-298.106569532058,7995.114768165441,-1.5549589119868964e-07,0.0001038316532390309,19.142815899537887
3,3.0,6492054.046580989,23985.367900132558,-2.3153596161733287e-07,-307.56303924498303,7995.091370096333,-2.3729877369946902e-07,0.00010743630080542926,19.26769521684692
4,4.0,6491746.483541744,31980.45927022889,-4.688347353168019e-07,-317.02026959183195,7995.056318512189,-3.219762078616446e-07,0.00011121170904648174,19.395042108269408
5,5.0,6491429.463272152,39975.51558874108,-7.908109431784464e-07,-326.47824515716616,7995.009610332669,-4.096642851975101e-07,0.00011516599660610355,19.524745762752694
6,6.0,6491102.985026995,47970.525199073745,-1.2004752283759565e-06,-335.9369505155819,7994.951242491535,-5.005055992148715e-07,0.00011930770750657099,19.656695904639758
7,7.0,6490767.048076479,55965.47644156528,-1.700980827590828e-06,-345.3963702316896,7994.881211936233,-5.946495873929255e-07,0.00012364583510812794,19.79078290695765
8,8.0,6490421.651706247,63960.357653501516,-2.2956304149837535e-06,-354.8564888600906,7994.799515627449,-6.922528923522375e-07,0.00012818984732631546,19.9268978924446
9,9.0,6490066.795217386,71955.15716912897,-2.987883307335991e-06,-364.3172909453487,7994.706150538639,-7.934797432239403e-07,0.00013294971316978586,20.064932822882938
10,10.0,6489702.4779264415,79949.86331966761,-3.7813630505599315e-06,-373.77876102195864,7994.601113655531,-8.985023582727358e-07,0.00013793593066358946,20.204780577334468
11,11.0,6489328.69916542,87944.46443332314,-4.679865408832667e-06,-383.24088361431,7994.484401975599,-1.0075013698796228e-06,0.00014315955622537903,20.34633501990373
12,12.0,6488945.458281806,95938.94883529874,-5.68736677871229e-06,-392.70364323664626,7994.356012507504,-1.1206662730437085e-06,0.000148632235564743,20.489491057682393
13,13.0,6488552.754638569,103933.30484780624,-6.8080330517559985e-06,-402.1670243930194,7994.215942270506,-1.238195898617202e-06,0.0001543662361775825,20.63414468951964
14,14.0,6488150.587614177,111927.52079007674,-8.0462289503732e-06,-411.6310115772388,7994.06418829384,-1.3602989125448516e-06,0.00016037448151063748,20.780193046290517
15,15.0,6487738.9566025995,119921.58497837058,-9.406527862918052e-06,-421.095589272815,7993.900747616056,-1.4871943424373751e-06,0.00016667058687274512,20.927534423310405
16,16.0,6487317.861013327,127915.48572598664,-1.0893722205355427e-05,-430.5607419528976,7993.725617284324,-1.6191121328685504e-06,0.0001732688971718145,21.076068305543174
17,17.0,6486887.300271374,135909.21134327096,-1.2512834338223977e-05,-440.0264540802067,7993.538794353693,-1.756293730847281e-06,0.00018018452655851823,21.22569538623807
