,time,r_x,r_y,r_z,v_x,v_y,v_z,a,M
0,0.0,6492920.0,0.0,0.0,-279.19597362000775,7995.1266161527665,7995.1266161527665,0.0,0.0
1,1.0,6492640.80402638,7995.1266161527665,3.9757668475599165e-10,-288.65087574274463,7995.126515818394,-2.419221295565221e-07,0.00010039005031988025,19.020515376732877
2,2.0,6492352.153150638,15990.25313197116,-2.415245528717661e-07,-298.10656929648707,7995.114768173809,-4.921383449765364e-07,0.00010383165323902738,19.14281589953756
3,3.0,6492054.046581341,23985.36790014497,-7.336628978483025e-07,-307.5630388854909,7995.091370109321,-7.510412324258117e-07,0.00010743630080383691,19.267695216791907
4,4.0,6491746.483542455,31980.459270254294,-1.4847041302741142e-06,-317.02026910406886,7995.056318530113,-1.0190419622182089e-06,0.00011121170904144421,19.395042108100757
5,5.0,6491429.463273351,39975.51558878441,-2.503746092492323e-06,-326.47824453657614,7995.009610355859,-1.2965712586039768e-06,0.00011516599659543404,19.524745762406127
6,6.0,6491102.9850288145,47970.52519914027,-3.8003173510963e-06,-335.93694975739294,7994.951242520344,-1.5840804243912328e-06,0.00011930770748773028,19.656695904046305
7,7.0,6490767.048079058,55965.47644166061,-5.384397775487532e-06,-345.39636933090367,7994.881211971033,-1.8820424232858404e-06,0.00012364583507811823,19.790782906041795
8,8.0,6490421.651709727,63960.35765363165,-7.266440198773372e-06,-354.85648781147233,7994.799515668636,-2.1909530229802262e-06,0.00012818984728172863,19.926897891127467
9,9.0,6490066.7952219155,71955.15716930028,-9.457393221753598e-06,-364.3172897434141,7994.7061505866295,-2.511332002171535e-06,0.000132949713106687,20.06493282108037
10,10.0,6489702.477932172,79949.8633198869,-1.1968725223925133e-05,-373.7787596609632,7994.601113710769,-2.8437244248473744e-06,0.00013793593057746011,20.20478057495729
11,11.0,6489328.699172511,87944.46443359768,-1.4812449648772507e-05,-383.2408820882359,7994.484402038554,-3.188701985339271e-06,0.00014315955611108602,20.346335016858845
12,12.0,6488945.458290422,95938.94883563623,-1.8001151634111777e-05,-392.7036415391888,7994.356012578674,-3.546864427812733e-06,0.00014863223541635793,20.489491053870086
13,13.0,6488552.754648883,103933.3048482149,-2.154801606192451e-05,-402.1670225175731,7994.215942350419,-3.918841044037415e-06,0.00015436623598843018,20.63414468483716
14,14.0,6488150.587626365,111927.52079056532,-2.5466857105961925e-05,-411.6310095168825,7994.064188383055,-4.305292253459751e-06,0.00016037448127311087,20.78019304062981
15,15.0,6487738.956616848,119921.58497894838,-2.9772149359421677e-05,-421.09558702029636,7993.9007477151645,-4.706911269786843e-06,0.00016667058657822458,20.92753441655882
16,16.0,6487317.861029827,127915.48572666354,-3.447906062920852e-05,-430.5607395006164,7993.725617393952,-5.124425858479423e-06,0.00017326889681050945,21.076068297582633
17,17.0,6486887.300290327,135909.2113440575,-3.960348648768794e-05,-440.02645142019765,7993.53879447451,-5.558600189747654e-06,0.00018018452611941036,21.225695376946845
18,18.0,6486447.273838907,143902.750138532,-4.51620866774356e-05,-449.49270723087204,7993.340276019036,-6.0102367918415076e-06,0.0001874333995299437,21.376317568859434
19,19.0,6485997.7811316755,151896.09041455103,-5.117232346927711e-05,-458.9594913738657,7993.130059096019,-6.480178609632157e-06,0.00019503229664961341,21.527838015811508
20,20.0,6485538.8216403015,159889.22047364706,-5.765250207890927e-05,-468.42678827970826,7992.908140779371,-6.969311173684969e-06,0.0002029988975341366,21.680161091095417
21,21.0,6485070.394852022,167882.12861442642,-6.462181325259423e-05,-477.89458236813425,7992.674518147514,-7.478564885234978e-06,0.000211351830799286,21.833192397079344
22,22.0,6484592.500269653,175874.80313257393,-7.210037813782921e-05,-487.36285804797615,7992.42918828242,-8.008917422685265e-06,0.0002201107240658465,21.986838759747545
23,23.0,6484105.137411606,183867.23232085636,-8.010929556051447e-05,-496.8315997170487,7992.172148268592,-8.561396275459502e-06,0.00022929625682521844,22.141008219993417
24,24.0,6483608.305811889,191859.40446912494,-8.867069183597397e-05,-506.30079176202327,7991.903395191997,-9.13708141125085e-06,0.00023893021581325075,22.295610022125786
