,time,r_x,r_y,r_z,v_x,v_y,v_z,a,M
449,449.0,5553083.3498374345,3273216.664919997,30094.78504165197,-3528.910189157671,5931.443387970729,192.93765964408126,2.510343014202704,24.051564279069446
450,450.0,5549554.439648277,3279148.108307968,30287.72270129605,-3535.20762539905,5925.043236472079,193.2570351016243,2.5175105851963857,24.04367499514281
451,451.0,5546019.232022878,3285073.15154444,30480.979736397676,-3541.491958101839,5918.63198444644,193.57713992099286,2.525212471146884,24.035719112916755
452,452.0,5542477.740064776,3290991.7835288867,30674.556876318667,-3547.7627519802154,5912.209329234697,193.89805063632122,2.533453587914341,24.027693793930904
453,453.0,5538929.977312796,3296903.9928581216,30868.45492695499,-3554.0195665631377,5905.7749665956635,194.2198444282348,2.542239093361302,24.019596110277845
454,454.0,5535375.957746233,3302809.7678247173,31062.674771383223,-3560.2619559914524,5899.328590581142,194.54259915703605,2.5515743897140832,24.011423041974222
455,455.0,5531815.6957902415,3308709.0964152985,31257.21737054026,-3566.4894688124373,5892.869893410685,194.8663933960777,2.561465125872319,24.003171474271358
456,456.0,5528249.206321429,3314601.9663087092,31452.083763936338,-3572.7016477718307,5886.398565346094,195.19130646530905,2.5719171996453514,23.99483819490818
457,457.0,5524676.504673658,3320488.364874055,31647.275070401647,-3578.8980296034065,5879.914294565719,195.5174184649793,2.5829367599107154,23.986419891308195
458,458.0,5521097.606644055,3326368.2791686207,31842.792488866628,-3585.0781448161524,5873.41676703861,195.84481030948214,2.5945302086929907,23.97791314772231
459,459.0,5517512.528499239,3332241.695935659,32038.63729917611,-3591.2415174791395,5866.90566639861,196.17356376132105,2.6067042031359087,23.969314442321238
460,460.0,5513921.28698176,3338108.601602058,32234.81086293743,-3597.387665004154,5860.380673818437,196.50376146517578,2.6194656573718533,23.960620144239403
461,461.0,5510323.899316755,3343968.982275876,32431.314624402607,-3603.516097926202,5853.841467883853,196.8354869820459,2.632821744261782,23.951826510574403
462,462.0,5506720.383218829,3349822.82374376,32628.150111384653,-3609.6263196819823,5847.287724468001,197.1688248234475,2.6467798970063607,23.942929683344744
463,463.0,5503110.756899146,3355670.111468228,32825.3189362081,-3615.71782638646,5840.71911660601,197.50386048563396,2.6613478105957626,23.933925686410827
464,464.0,5499495.039072759,3361510.830584834,33022.822796693734,-3621.7901066076665,5834.135314369957,197.84068048381212,2.6765334431002503,23.924810422362135
465,465.0,5495873.248966152,3367344.965899204,33220.66347717754,-3627.8426411398864,5827.535984744318,198.17937238631978,2.6923450167683707,23.91557966937639
466,466.0,5492245.4063250115,3373172.501883948,33418.842849563865,-3633.8749027753875,5820.920791502012,198.52002484872938,2.708791018923769,23.906229078054704
467,467.0,5488611.531422236,3378993.4226754503,33617.362874412596,-3639.886356074882,5814.289395081182,198.86272764783897,2.725880202639815,23.896754168238182
468,468.0,5484971.645066161,3384807.7120705317,33816.22560206043,-3645.8764571369243,5807.641452462843,199.20757171550767,2.743621587161745,23.887150325812307
469,469.0,5481325.768609024,3390615.3535229946,34015.43317377594,-3651.844653366457,5800.97661704955,199.5546491722912,2.7620244580712203,23.877412799503603
470,470.0,5477673.9239556575,3396416.330140044,34214.987822948235,-3657.790383242759,5794.294538545276,199.90405336082628,2.781098367145409,23.867536697677078
471,471.0,5474016.1335724145,3402210.6246785894,34414.89187630906,-3663.7130760870514,5787.594862836624,200.2558788789129,2.800853131912488,23.857516985138684
472,472.0,5470352.420496328,3407998.219541426,34615.14775518797,-3669.6121518300474,5780.877231875623,200.6102216122353,2.821298834851326,23.8473484799524
