,time,r_x,r_y,r_z,v_x,v_y,v_z,a,M
0,0.0,6492920.0,0.0,0.0,-279.19597362000775,7995.1266161527665,7995.1266161527665,0.0,0.0
1,1.0,6492640.80402638,7995.1266161527665,3.9757668475599165e-10,-288.6508756498432,7995.126515821638,-2.852691810191957e-07,0.00010039005031988025,19.020515376732877
2,2.0,6492352.153150731,15990.253131974405,-2.8487160433443966e-07,-298.1065691075032,7995.114768180522,-5.803185631586102e-07,0.0001038316532390246,19.142815899537297
3,3.0,6492054.046581623,23985.367900154928,-8.651901674930498e-07,-307.5630385970929,7995.091370119741,-8.856110752679907e-07,0.00010743630080256281,19.267695216747903
4,4.0,6491746.483543026,31980.45927027467,-1.7508012427610406e-06,-317.020268712767,7995.056318544491,-1.2016315602095142e-06,0.00011121170903740517,19.39504210796558
5,5.0,6491429.463274313,39975.51558881916,-2.952432802970555e-06,-326.4782440387155,7995.009610374463,-1.528887918410366e-06,0.00011516599658685629,19.524745762127598
6,6.0,6491102.985030275,47970.525199193624,-4.481320721380921e-06,-335.93694914914533,7994.951242543454,-1.8679123160736268e-06,0.00011930770747258873,19.65669590356954
7,7.0,6490767.048081126,55965.476441737075,-6.349233037454547e-06,-345.3963686082593,7994.88121199895,-2.2192624614490657e-06,0.0001236458350540454,19.79078290530739
8,8.0,6490421.651712518,63960.35765373603,-8.568495498903613e-06,-354.8564869702313,7994.799515701676,-2.5835229527378196e-06,0.000128189847245956,19.92689789007105
9,9.0,6490066.795225548,71955.1571694377,-1.1152018451641432e-05,-364.31728877917703,7994.706150625129,-2.9613067013813126e-06,0.0001329497130560532,20.06493281963433
10,10.0,6489702.477936769,79949.86332006284,-1.4113325153022744e-05,-373.77875856912163,7994.601113755084,-3.3532564346704684e-06,0.00013793593050836667,20.204780573050844
11,11.0,6489328.6991782,87944.46443381792,-1.7466581587693212e-05,-383.2408808639619,7994.484402089061,-3.7600462818023546e-06,0.0001431595560193561,20.34633501441574
12,12.0,6488945.4582973365,95938.94883590698,-2.1226627869495568e-05,-392.70364017742463,7994.3560126357725,-4.182383447711357e-06,0.00014863223529728485,20.489491050811647
13,13.0,6488552.754657159,103933.30484854276,-2.5409011317206924e-05,-402.16702101301956,7994.21594241453,-4.621009979205912e-06,0.00015436623583662138,20.63414468108004
14,14.0,6488150.587636146,111927.5207909573,-3.0030021296412837e-05,-411.63100786398735,7994.064188454628,-5.076704628154951e-06,0.00016037448108249474,20.7801930360881
15,15.0,6487738.956628282,119921.58497941191,-3.5106725924567784e-05,-421.09558521324135,7993.900747794674,-5.550284816685816e-06,0.00016667058634182167,20.92753441114067
16,16.0,6487317.861043069,127915.48572720659,-4.0657010741253604e-05,-430.56073753330446,7993.725617481903,-6.042608709581008e-06,0.0001732688965205169,21.07606829119457
17,17.0,6486887.300305535,135909.2113446885,-4.6699619450834616e-05,-440.0264492862387,7993.538794571436,-6.554577399288787e-06,0.00018018452576694293,21.225695369490236
18,18.0,6486447.273856249,143902.75013925994,-5.32541968501234e-05,-449.4927049235685,7993.340276125502,-7.087137209199663e-06,0.0001874333991050436,21.37631756023337
19,19.0,6485997.781151325,151896.09041538544,-6.034133405932307e-05,-458.959488886197,7993.130059212625,-7.641282121079052e-06,0.0001950322961410292,21.52783800591087
20,20.0,6485538.821662439,159889.22047459806,-6.798261618040213e-05,-468.4267856043145,7992.908140906755,-8.21805633278938e-06,0.0002029988969291814,21.680161079811107
21,21.0,6485070.394876835,167882.1286155048,-7.62006725131915e-05,-477.8945794972991,7992.674518286351,-8.81855695268185e-06,0.000211351830083711,21.83319238429899
22,22.0,6484592.500297338,175874.80313379114,-8.501922946587335e-05,-487.3628549736088,7992.429188433423,-9.443936837285141e-06,0.0002201107232236469,21.986838745355268
23,23.0,6484105.137442364,183867.23232222456,-9.44631663031585e-05,-496.8315964306649,7992.172148432522,-1.0095407579167171e-05,0.00022929625583840827,22.14100820386949
24,24.0,6483608.305845934,191859.4044706571,-0.00010455857388232566,-506.3007882547252,7991.903395369659,-1.0774242652095151e-05,0.00023893021466172271,22.295610004148
25,25.0,6483102.0050576795,199851.30786602673,-0.00011533281653442082,-515.770414820748,7991.622926331188,-1.1481780720865341e-05,0.00024903555164063166,22.45055458006371
26,26.0,6482586.234642859,207842.93079235792,-0.00012681459725528616,-525.2404604922451,7991.330738402615,-1.221942912341672e-05,0.0002596364445850438,22.605753539243672
27,27.0,6482060.994182366,215834.26153076053,-0.0001390340263787029,-534.7109096211232,7991.02682866735,-1.2988667533080093e-05,0.0002707583605814284,22.76111964566102
28,28.0,6481526.283272745,223825.28835942788,-0.000152022693911783,-544.1817465475139,7990.711194205394,-1.3791051809047169e-05,0.0002824281222527022,22.916566800982423
29,29.0,6480982.101526198,231815.99955363327,-0.00016581374572083014,-553.6529555995912,7990.383832091957,-1.4628218043359863e-05,0.00029467397694031013,23.072010024955386
30,30.0,6480428.448570599,239806.38338572523,-0.00018044196376419,-563.1245210933755,7990.044739395997,-1.5501886812934348e-05,0.00030752566888394547,23.22736543514307
31,31.0,6479865.324049505,247796.42812512122,-0.00019594385057712435,-572.5964273325236,7989.693913178703,-1.6413867645322505e-05,0.00032101451446522606,23.382550226233807
32,32.0,6479292.727622173,255786.12203829992,-0.00021235771822244686,-582.0686586081043,7989.331350491885,-1.7366063707092813e-05,0.00033517348057851657,23.53748264916783
