,time,r_x,r_y,r_z,v_x,v_y,v_z,a,M
0,0.0,6492920.0,0.0,0.0,-279.19597362000775,7995.1266161527665,7995.1266161527665,0.0,0.0
1,1.0,6492640.80402638,7995.1266161527665,3.9757668475599165e-10,-288.65100578794613,7995.124834206698,0.00032705064672174675,0.0018161837715108627,19.020515376732877
2,2.0,6492352.153020592,15990.251450359465,0.0003270510442984315,-298.10683179105996,7995.1113471439785,0.0006653137218232024,0.0018784459604262549,19.142811889705
3,3.0,6492054.0461888015,23985.362797503443,0.000992364766121634,-307.5634363023045,7995.086149117844,0.0010153199398612025,0.001943657785148208,19.267687069957343
4,4.0,6491746.482752499,31980.448946621287,0.0020076847059828365,-317.02080398456116,7995.0492341667195,0.001377625138069319,0.002011958837368569,19.395029694177435
5,5.0,6491429.461948515,39975.49818078801,0.0033853098440521554,-326.47891949050126,7995.000596207086,0.001752811587369082,0.0020834959928533125,19.524728948056396
6,6.0,6491102.983029025,47970.4987769951,0.005138121431421237,-335.93776746243435,7994.9402290259395,0.0021414893775109625,0.002158423823282166,19.656674552311934
7,7.0,6490767.045261562,55965.439006021035,0.0072796108089322,-345.3973325321387,7994.868126272814,0.0025442978802465333,0.0022369050297641117,19.790756875940744
8,8.0,6490421.64792903,63960.30713229385,0.009823908689178732,-354.8575993206729,7994.784281451376,0.0029619072946289573,0.0023191108991164875,19.926867037211313
9,9.0,6490066.790329709,71955.09141374522,0.01278581598380769,-364.3185524381668,7994.688687910529,0.003395020278742796,0.0024052217840404666,20.064896992957447
10,10.0,6489702.471777271,79949.78010165575,0.016180836262550485,-373.78017648358997,7994.581338835026,0.0038443736723763823,0.002495427608372516,20.204739616774283
11,11.0,6489328.6916007865,87944.36144049077,0.020025209934926867,-383.2424560444954,7994.462227235568,0.004310740315369567,0.002589928398632106,20.34628876673989
12,12.0,6488945.449144742,95938.82366772633,0.024335950250296435,-392.7053756967362,7994.33134593834,0.004794930966598422,0.0026889348431370945,20.489439343315293
13,13.0,6488552.743769046,103933.15501366467,0.029130881216894857,-402.16892000415413,7994.188687573976,0.005297796328792891,0.0027926688799897056,20.634087338068532
14,14.0,6488150.574849042,111927.34370123864,0.03442867754568775,-411.6330735182356,7994.034244565916,0.005820229184628689,0.0029013643152965667,20.78012987389805
15,15.0,6487738.941775524,119921.37794580456,0.04024890673031644,-421.09782077773457,7993.868009118126,0.006363166649782721,0.0030152674730011203,20.927465237391477
16,16.0,6487317.843954747,127915.24595492269,0.046612073380099164,-430.56314630825767,7993.689973202138,0.006927592548900716,0.00313463787777061,21.075992903982232
17,17.0,6486887.280808439,135908.93592812482,0.05353966592899988,-440.0290346218103,7993.500128543399,0.007514539920688605,0.0032597489723987126,21.225613556529677
18,18.0,6486447.2517738165,143902.43605666823,0.06105420584968848,-449.4954702162988,7993.2984666068605,0.008125093658608737,0.0033908888712224647,21.376229097937554
19,19.0,6485997.7563036,151895.73452327508,0.06917929950829721,-458.96243757498695,7993.0849785818145,0.00876039329393696,0.0035283611510821913,21.52774265840607
20,20.0,6485538.793866025,159888.8195018569,0.07793969280223417,-468.4299211659015,7992.859655365893,0.009421635928215325,0.0036724856813742787,21.6800585978856
21,21.0,6485070.363944859,167881.6791572228,0.0873613287304495,-477.8979054411841,7992.622487548222,0.010110079322418735,0.0038235994947736127,21.833082504282146
22,22.0,6484592.466039418,175874.301644771,0.09747140805286823,-487.3663748363851,7992.373465391679,0.010827045150435612,0.003982057700192975,21.986721187914256
23,23.0,6484105.099664582,183866.6751101627,0.10829845320330385,-496.83531376969415,7992.112578814206,0.011573922424752466,0.00414823443959097,22.14088267273222
24,24.0,6483608.264350812,191858.7876889769,0.11987237562805632,-506.3047066411041,7991.839817369141,0.012352171102514352,0.00432252389019842,22.295476184739265
25,25.0,6483101.9596441705,199850.62750634606,0.13222454673057066,-515.7745378315019,7991.5551702245175,0.01316332588041712,0.00450534131374265,22.4504121380475
26,26.0,6482586.185106339,207842.18267657058,0.1453878726109878,-525.2447917016822,7991.258626141286,0.014009000187168207,0.004697124154232816,22.605602118973884
27,27.0,6482060.9403146375,215833.44130271187,0.159396872798156,-534.7154525912771,7990.950173450413,0.014890890382522714,0.004898333185809225,22.76095886852875
28,28.0,6481526.224862047,223824.39147616227,0.17428776318067873,-544.1865048175968,7990.6298000287925,0.015810780172170504,0.005109453712154708,22.91639626365401
29,29.0,6480982.038357229,231815.02127619105,0.19009854335284923,-553.657932674374,7990.297493273937,0.016770545247999355,0.005330996818856602,23.07182929749944
30,30.0,6480428.380424554,239805.318769465,0.20686908860084857,-563.1297204304063,7989.953240077382,0.017772158163503728,0.005563500680082162,23.22717405903606
31,31.0,6479865.250704124,247795.2720095424,0.2246412467643523,-572.6018523280878,7989.597026796753,0.018817693454325976,0.005807531920779521,23.382347712236708
32,32.0,6479292.648851795,255784.86903633914,0.24345894021867825,-582.0743125818241,7989.22883922644,0.01990933301412359,0.006063687035557631,23.53726847506618
33,33.0,6478710.574539213,263774.0978755656,0.2633682732328018,-591.5470853763212,7988.848662566825,0.02104937173612981,0.006332593865216821,23.691855598465025
34,34.0,6478119.027453837,271762.9465381324,0.2844176449689316,-601.0201548647415,7988.4564813920015,0.02224022343092556,0.006614913131772843,23.846029345506167
35,35.0,6477518.007298972,279751.4030195244,0.3066578683998572,-610.493505166715,7988.052279615931,0.02348442703105043,0.006911340032592094,23.999710970855997
36,36.0,6476907.513793806,287739.45529914036,0.3301422954309076,-619.9671203662006,7987.636040456976,0.024784653093160056,0.007222605894087494,24.15282270067505
37,37.0,6476287.546673439,295727.09133959736,0.3549269485240677,-629.4409845091835,7987.207746400755,0.026143710608466295,0.007549479885146064,24.305287713050387
38,38.0,6475658.1056889305,303714.2990859981,0.381070659132534,-638.915081601201,7986.767379161258,0.02756455413217175,0.007892770790159724,24.45703011902326
39,39.0,6475019.190607329,311701.06646515935,0.40863521326470575,-648.3893956046841,7986.314919640164,0.029050291242538384,0.008253328841270842,24.607974944281345
40,40.0,6474370.801211724,319687.3813847995,0.43768550450724414,-657.8639104361051,7985.850347884308,0.03060419034008199,0.008632047609022853,24.758048111534222
41,41.0,6473712.937301288,327673.2317326838,0.46828969484732613,-667.3386099629187,7985.373643041237,0.03222968879716848,0.009029865950229853,24.907176423584147
42,42.0,6473045.598691326,335658.605375725,0.5005193836444947,-676.8134780002829,7984.8847833128075,0.03393040146799804,0.009447770011468817,25.055287547098718
43,43.0,6472368.785213325,343643.4901590378,0.5344497851124927,-686.2884983075497,7984.383745906761,0.03571012956856343,0.0098867952859898,25.202309997032618
44,44.0,6471682.496715018,351627.8739049446,0.5701599146810562,-695.763654584509,7983.87050698624,0.03757286993569454,0.010348028721426683,25.34817312168163
45,45.0,6470986.7330604335,359611.7444119308,0.6077327846167507,-705.2389304673745,7983.345041617195,0.03952282467369994,0.01083261087498682,25.4928070882996
46,46.0,6470281.494129966,367595.08945354796,0.6472556092904507,-714.7143095244954,7982.807323713648,0.04156441119498357,0.011341738104296315,25.63614286035784
47,47.0,6469566.779820441,375577.89677726163,0.6888200204854342,-724.1897752516505,7982.257325988591,0.04370227122902407,0.011876656842173145,25.778103641382348
48,48.0,6468842.5900451895,383560.15410325024,0.7325222917144583,-733.6653110668307,7981.695019919171,0.045941277219545044,0.012438649097095668,25.91858982019693
49,49.0,6468108.924734123,391541.84912316944,0.7784635689340033,-743.1409003050697,7981.120375693935,0.048286542005984624,0.013029050694623769,26.057500440626004
50,50.0,6467365.783833818,399522.9694988634,0.8267501109399878,-752.6165262130348,7980.533362154607,0.05074342951043131,0.013649256864891114,26.19473760814285
51,51.0,6466613.167307604,407503.502861018,0.8774935404504192,-762.0921719432902,7979.933946736178,0.053317565734437876,0.014300723967876518,26.33020636884953
52,52.0,6465851.07513566,415483.43680775416,0.9308111061848571,-771.5678205482237,7979.322095405364,0.056014850056803324,0.014984971169562118,26.46381459174616
53,53.0,6465079.507315112,423462.7589031595,0.9868259562416604,-781.0434549736232,7978.697772597495,0.05884146682095286,0.01570358205534564,26.595472854140315
54,54.0,6464298.463860138,431441.456675757,1.0456674230626133,-790.5190580518898,7978.060941151916,0.061803897197806656,0.016458206165525686,26.725094329984895
55,55.0,6463507.944802087,439419.51761690894,1.1074713202604198,-799.9946124948785,7977.411562245993,0.0649089313070731,0.017250560436482786,26.852594680962245
56,56.0,6462707.950189592,447396.9291791549,1.172380251567493,-809.4701008863536,7976.749595327826,0.06816368057662796,0.0180824305294052,26.977891950071726
57,57.0,6461898.480088706,455373.67877448275,1.240543932144121,-818.9455056740503,7976.074998047813,0.0715755903161173,0.018955672027031367,27.10090645751064
58,58.0,6461079.534583032,463349.75377253053,1.3121195224602382,-828.4208091613331,7975.387726189221,0.07515245247707318,0.019872211477068746,27.221560698611274
59,59.0,6460251.113773871,471325.14149871975,1.3872719749373115,-837.8959934984427,7974.687733597915,0.0789024185676625,0.020834047259182756,27.339779243600667
60,60.0,6459413.217780373,479299.8292323177,1.466174393504974,-847.3710406733271,7973.974972111473,0.08283401268571285,0.02184325025073432,27.455488638970767
61,61.0,6458565.8467397,487273.80420442915,1.5490084061906868,-856.8459325020488,7973.249391487895,0.08695614462882524,0.022901964264465367,27.568617310243816
62,62.0,6457709.000807198,495247.05359591707,1.635964550819512,-866.3206506187692,7972.5109393341645,0.0912781230351671,0.024012406229205432,27.67909546591644
63,63.0,6456842.680156579,503219.56453525124,1.7272426738546791,-875.7951764653069,7971.759561034954,0.09580966850302221,0.0251768660830113,27.78685500242212
64,64.0,6455966.884980114,511191.3240962862,1.8230523423577014,-885.2694912802727,7970.995199681775,0.10056092663119791,0.02639770634559131,27.891829409919385
65,65.0,6455081.615488834,519162.319295968,1.9236132689888994,-894.7435760877858,7970.217796002951,0.10554248091609489,0.027677361335106104,27.99395367877337
66,66.0,6454186.871912746,527132.5370919709,2.0291557499049944,-904.2174116857784,7969.427288294764,0.11076536543452072,0.029018335992046895,28.09316420659718
67,67.0,6453282.65450106,535101.9643802657,2.139921115339515,-913.6909786339024,7968.623612354243,0.11624107723421076,0.030423204270710685,28.18939870574634
68,68.0,6452368.963522426,543070.58799262,2.2561621925737256,-923.1642572410489,7967.806701414024,0.12198158834651059,0.031894607056612546,28.282596111185768
