,time,r_x,r_y,r_z,v_x,v_y,v_z,a,M
0,0.0,6492920.0,0.0,0.0,-279.19597362000775,7995.1266161527665,7995.1266161527665,0.0,0.0
1,1.0,6492640.80402638,7995.1266161527665,3.9757668475599165e-10,-288.6508114808636,7995.124686819483,1.55584245156142e-07,0.0019305170760351709,19.020515376732877
2,2.0,6492352.153214899,15990.25130297225,1.5598182184089798e-07,-298.106436335481,7995.111047554413,3.165024478216796e-07,0.001996698748141793,19.14281152049904
3,3.0,6492054.046778563,23985.362350526662,4.724842696625776e-07,-307.56283252845395,7995.0856922884195,4.830070740234734e-07,0.0020660156841615855,19.26768622351733
4,4.0,6491746.483946035,31980.448042815082,9.55491343686051e-07,-317.01998437849215,7995.048614827446,6.553625402960611e-07,0.0021386162534927974,19.39502825305678
5,5.0,6491429.463961656,39975.49665764253,1.610853883982112e-06,-326.4778761774516,7994.999808844863,8.338458372534028e-07,0.002214656566935095,19.52472678543804
6,6.0,6491102.986085479,47970.49646648739,2.4446997212355148e-06,-335.9364921893016,7994.939267873391,1.01874718841414e-06,0.0022943009143170253,19.65667153205549
7,7.0,6490767.049593289,55965.435734360784,3.4634469096496548e-06,-345.3958166490241,7994.866985296556,1.2103707461350336e-06,0.0023777222251479733,19.790752852627026
8,8.0,6490421.65377664,63960.30271965734,4.673817655784688e-06,-354.85583376144166,7994.782954339671,1.4090353266001343e-06,0.0024651025534479713,19.926861856180867
9,9.0,6490066.797942879,71955.085673997,6.082852982384822e-06,-364.3165276999686,7994.687168060318,1.6150751859103113e-06,0.002556633587960866,20.064890490345537
10,10.0,6489702.481415179,79949.77284205733,7.697928168295133e-06,-373.7778826052815,7994.579619338287,1.828840839418389e-06,0.002652517189000251,20.204731619540496
11,11.0,6489328.703532574,87944.35246139561,9.526769007713521e-06,-383.23988258390295,7994.4603008649665,2.0506999265596042e-06,0.0027529659532255957,20.34627909269482
12,12.0,6488945.46364999,95938.81276226058,1.1577468934273126e-05,-392.70251170669417,7994.329205132144,2.2810381235351785e-06,0.0028582038076907005,20.489427801136998
13,13.0,6488552.761138284,103933.14196739273,1.3858507057808303e-05,-402.16575400724986,7994.186324420186,2.52026010631926e-06,0.002968466634561262,20.634073727321834
14,14.0,6488150.5953842765,111927.32829181291,1.6378767164127565e-05,-411.6295934801899,7994.031650785572,2.7687905665740545e-06,0.0030840029279243964,20.78011398503826
15,15.0,6487738.965790796,119921.35994259849,1.914755773070162e-05,-421.0940140793413,7993.865176047747,3.0270752831777994e-06,0.0032050744841785827,20.927446851769783
16,16.0,6487317.871776717,127915.22511864624,2.217463301387942e-05,-430.55899971580374,7993.6868917752545,3.2955822521919117e-06,0.0033319571275153698,21.07597179384623
17,17.0,6486887.312777001,135908.91201042148,2.547021526607133e-05,-440.0245342558913,7993.496789271118,3.5748028782183483e-06,0.0034649414720421376,21.225589485013927
18,18.0,6486447.288242745,143902.4087996926,2.904501814428968e-05,-449.49060151894355,7993.294859557434,3.86525323022716e-06,0.0036043337221475747,21.37620181905492
19,19.0,6485997.797641226,151895.70365925005,3.291027137451684e-05,-458.95718527499736,7993.081093359134,4.1674753650635036e-06,0.0037504565127163283,21.52771191703422
